\\ \
\subedot ⫃
\supedot ⫄
\subseteqq ⫅
\supseteqq ⫆
\subsim ⫇
\supsim ⫈
\subsetapprox ⫉
\supsetapprox ⫊
\subsetneqq ⫋
\supsetneqq ⫌
\lsqhook ⫍
\rsqhook ⫎
\csub ⫏
\csup ⫐
\csube ⫑
\csupe ⫒
\subsup ⫓
\supsub ⫔
\subsub ⫕
\supsup ⫖
\suphsub ⫗
\supdsub ⫘
\forkv ⫙
\topfork ⫚
\mlcp ⫛
\forks ⫝̸
\forksnot ⫝
\shortlefttack ⫞
\shortdowntack ⫟
\shortuptack ⫠
\perps ⫡
\vDdash ⫢
\dashV ⫣
\Dashv ⫤
\DashV ⫥
\varVdash ⫦
\Barv ⫧
\vBar ⫨
\vBarv ⫩
\barV ⫪
\Vbar ⫫
\Not ⫬
\bNot ⫭
\revnmid ⫮
\cirmid ⫯
\midcir ⫰
\topcir ⫱
\nhpar ⫲
\parsim ⫳
\interleave ⫴
\nhVvert ⫵
\threedotcolon ⫶
\lllnest ⫷
\gggnest ⫸
\leqqslant ⫹
\geqqslant ⫺
\trslash ⫻
\biginterleave ⫼
\sslash ⫽
\talloblong ⫾
\bigtalloblong ⫿
\squaretopblack ⬒
\squarebotblack ⬓
\squareurblack ⬔
\squarellblack ⬕
\diamondleftblack ⬖
\diamondrightblack ⬗
\diamondtopblack ⬘
\diamondbotblack ⬙
\dottedsquare ⬚
\lgblksquare ⬛
\lgwhtsquare ⬜
\vysmblksquare ⬝
\vysmwhtsquare ⬞
\pentagonblack ⬟
\pentagon ⬠
\varhexagon ⬡
\varhexagonblack ⬢
\hexagonblack ⬣
\lgblkcircle ⬤
\mdblkdiamond ⬥
\mdwhtdiamond ⬦
\mdblklozenge ⬧
\mdwhtlozenge ⬨
\smblkdiamond ⬩
\smblklozenge ⬪
\smwhtlozenge ⬫
\blkhorzoval ⬬
\whthorzoval ⬭
\blkvertoval ⬮
\whtvertoval ⬯
\circleonleftarrow ⬰
\leftthreearrows ⬱
\leftarrowonoplus ⬲
\longleftsquigarrow ⬳
\nvtwoheadleftarrow ⬴
\nVtwoheadleftarrow ⬵
\twoheadmapsfrom ⬶
\twoheadleftdbkarrow ⬷
\leftdotarrow ⬸
\nvleftarrowtail ⬹
\nVleftarrowtail ⬺
\twoheadleftarrowtail ⬻
\nvtwoheadleftarrowtail ⬼
\nVtwoheadleftarrowtail ⬽
\leftarrowx ⬾
\leftcurvedarrow ⬿
\equalleftarrow ⭀
\bsimilarleftarrow ⭁
\leftarrowbackapprox ⭂
\rightarrowgtr ⭃
\rightarrowsupset ⭄
\LLeftarrow ⭅
\RRightarrow ⭆
\bsimilarrightarrow ⭇
\rightarrowbackapprox ⭈
\similarleftarrow ⭉
\leftarrowapprox ⭊
\leftarrowbsimilar ⭋
\rightarrowbsimilar ⭌
\medwhitestar ⭐
\medblackstar ⭑
\smwhitestar ⭒
\rightpentagonblack ⭓
\rightpentagon ⭔
\postalmark 〒
\hzigzag 〰
